Symbol,Company Name,Index Weight
GS,GOLDMAN SACHS GROUP INC,11.659299
CAT,CATERPILLAR INC,11.406127
UNH,UNITEDHEALTH GROUP INC,4.892947
MSFT,MICROSOFT CORP,4.264933
AMGN,AMGEN INC,4.097524
HD,HOME DEPOT INC,3.989234
SHW,SHERWIN WILLIAMS CO/THE,3.93446
AXP,AMERICAN EXPRESS CO,3.892036
GOOGL,ALPHABET INC CL A,3.858103
V,VISA INC CLASS A SHARES,3.844809
JPM,JPMORGAN CHASE + CO,3.762706
TRV,TRAVELERS COS INC/THE,3.743495
AAPL,APPLE INC,3.245041
IBM,INTL BUSINESS MACHINES CORP,3.106105
MCD,MCDONALD S CORP,3.084721
JNJ,JOHNSON + JOHNSON,2.912052
AMZN,AMAZON.COM INC,2.660824
-,US DOLLAR,2.528775
BA,BOEING CO/THE,2.484266
NVDA,NVIDIA CORP,2.201592
CVX,CHEVRON CORP,1.956081
MMM,3M CO,1.875464
CRM,SALESFORCE INC,1.81097
PG,PROCTER + GAMBLE CO/THE,1.704052
MRK,MERCK + CO. INC.,1.471235
HONIV,HONEYWELL INTERNATIONAL  WI,1.337127
WMT,WALMART INC,1.322922
CSCO,CISCO SYSTEMS INC,1.300967
DIS,WALT DISNEY CO/THE,1.129669
KO,COCA COLA CO/THE,0.944879
NKE,NIKE INC  CL B,0.465979
