Symbol,Company Name,Index Weight
NVDA,NVIDIA Corp,7.599027
AAPL,Apple Inc,6.797822
MU,Micron Technology Inc,5.749664
MSFT,Microsoft Corp,4.518717
AMZN,Amazon.com Inc,4.082417
AMD,Advanced Micro Devices Inc,3.829403
GOOGL,Alphabet Inc Class A,3.204773
TSLA,Tesla Inc,3.093662
GOOG,Alphabet Inc Class C,2.978252
INTC,Intel Corp,2.903881
AVGO,Broadcom Inc,2.827622
META,Meta Platforms Inc,2.657605
WMT,Walmart Inc,2.541064
AMAT,Applied Materials Inc,2.240867
LRCX,Lam Research Corp,2.136056
CSCO,Cisco Systems Inc,2.019035
COST,Costco Wholesale Corp,1.902789
KLAC,KLA Corp,1.462402
NFLX,Netflix Inc,1.3994
SNDK,Sandisk Corp,1.394047
TXN,Texas Instruments Inc,1.169602
PLTR,Palantir Technologies Inc,1.167499
PANW,Palo Alto Networks Inc,1.117661
LIN,Linde PLC,1.081718
MRVL,Marvell Technology Inc,1.050769
WDC,Western Digital Corp,0.910151
STX,Seagate Technology Holdings PLC,0.909307
QCOM,QUALCOMM Inc,0.898793
TMUS,T-Mobile US Inc,0.890148
PEP,PepsiCo Inc,0.879305
AMGN,Amgen Inc,0.870773
ADI,Analog Devices Inc,0.848554
CRWD,Crowdstrike Holdings Inc,0.803638
ASML,ASML Holding NV,0.74044
GILD,Gilead Sciences Inc,0.71951
HON,Honeywell International Inc,0.662515
APP,AppLovin Corp,0.656746
ISRG,Intuitive Surgical Inc,0.645356
SHOP,Shopify Inc,0.641709
ARM,ARM Holdings PLC,0.638163
BKNG,Booking Holdings Inc,0.634618
VRTX,Vertex Pharmaceuticals Inc,0.561497
SBUX,Starbucks Corp,0.536766
FTNT,Fortinet Inc,0.499273
CDNS,Cadence Design Systems Inc,0.468527
MAR,Marriott International Inc/MD,0.44885
CEG,Constellation Energy Corp,0.429372
MNST,Monster Beverage Corp,0.424416
ADP,Automatic Data Processing Inc,0.405456
CSX,CSX Corp,0.398743
SNPS,Synopsys Inc,0.391705
MELI,MercadoLibre Inc,0.382379
CMCSA,Comcast Corp,0.371687
ADBE,Adobe Inc,0.368959
DDOG,Datadog Inc,0.357157
MDLZ,Mondelez International Inc,0.35135
AEP,American Electric Power Co Inc,0.339774
DASH,DoorDash Inc,0.339097
ORLY,O'Reilly Automotive Inc,0.334144
INTU,Intuit Inc,0.329728
NXPI,NXP Semiconductors NV,0.316068
ROST,Ross Stores Inc,0.309981
CTAS,Cintas Corp,0.309665
TER,Teradyne Inc,0.307922
ALAB,Astera Labs Inc,0.302333
WBD,Warner Bros Discovery Inc,0.301857
REGN,Regeneron Pharmaceuticals Inc,0.293575
MPWR,Monolithic Power Systems Inc,0.290509
LITE,Lumentum Holdings Inc,0.286187
PCAR,PACCAR Inc,0.285968
ABNB,Airbnb Inc,0.273912
BKR,Baker Hughes Co,0.252646
FAST,Fastenal Co,0.243466
NBIS,Nebius Group NV,0.238476
XEL,Xcel Energy Inc,0.232819
EA,Electronic Arts Inc,0.231734
PDD,PDD Holdings Inc,0.230216
FANG,Diamondback Energy Inc,0.227882
FER,Ferrovial NV,0.221446
RKLB,Rocket Lab Corp,0.220301
EXC,Exelon Corp,0.218376
MCHP,Microchip Technology Inc,0.214617
KDP,Keurig Dr Pepper Inc,0.206019
ODFL,Old Dominion Freight Line Inc,0.204876
CCEP,Coca-Cola Europacific Partners PLC,0.203957
TTWO,Take-Two Interactive Software Inc,0.199406
IDXX,IDEXX Laboratories Inc,0.195883
CRWV,CoreWeave Inc,0.194632
ADSK,Autodesk Inc,0.186458
PYPL,PayPal Holdings Inc,0.175909
ALNY,Alnylam Pharmaceuticals Inc,0.175158
AXON,Axon Enterprise Inc,0.168701
PAYX,Paychex Inc,0.161161
ROP,Roper Technologies Inc,0.153725
TRI,Thomson Reuters Corp,0.143903
GEHC,GE HealthCare Technologies Inc,0.134688
CPRT,Copart Inc,0.127349
KHC,Kraft Heinz Co/The,0.126536
MSTR,Strategy Inc,0.122601
DXCM,Dexcom Inc,0.121862
WDAY,Workday Inc,0.112414
NQU6,CME E-Mini NASDAQ 100 Index Future,0.06783
USD,CASH &amp; EQUIVALENTS,0.054988
FUTPLGCSH,CASH COLLATERAL,0.005455
NQU6,Synthetic Cash,-0.06783
