Symbol,Company Name,Index Weight
NVDA,NVIDIA CORP,7.375684
AAPL,APPLE INC,6.5924
MSFT,MICROSOFT CORP,4.382108
AMZN,AMAZON.COM INC,3.602655
GOOGL,ALPHABET INC CL A,3.129012
AVGO,BROADCOM INC,2.733437
GOOG,ALPHABET INC CL C,2.501915
MU,MICRON TECHNOLOGY INC,2.019616
META,META PLATFORMS INC CLASS A,1.911125
TSLA,TESLA INC,1.690668
LLY,ELI LILLY + CO,1.51141
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.445812
JPM,JPMORGAN CHASE + CO,1.394392
AMD,ADVANCED MICRO DEVICES,1.345046
JNJ,JOHNSON + JOHNSON,0.969412
INTC,INTEL CORP,0.958714
XOM,EXXON MOBIL CORP,0.894978
V,VISA INC CLASS A SHARES,0.882471
WMT,WALMART INC,0.802038
AMAT,APPLIED MATERIALS INC,0.786657
LRCX,LAM RESEARCH CORP,0.749674
CAT,CATERPILLAR INC,0.726488
CSCO,CISCO SYSTEMS INC,0.710603
ABBV,ABBVIE INC,0.707774
COST,COSTCO WHOLESALE CORP,0.668228
MA,MASTERCARD INC   A,0.63667
UNH,UNITEDHEALTH GROUP INC,0.614418
GE,GENERAL ELECTRIC,0.608743
BAC,BANK OF AMERICA CORP,0.597513
HD,HOME DEPOT INC,0.549398
PG,PROCTER + GAMBLE CO/THE,0.54867
KLAC,KLA CORP,0.513543
CVX,CHEVRON CORP,0.506339
KO,COCA COLA CO/THE,0.505884
MRK,MERCK + CO. INC.,0.502606
NFLX,NETFLIX INC,0.491408
SNDK,SANDISK CORP,0.489549
GS,GOLDMAN SACHS GROUP INC,0.475587
PM,PHILIP MORRIS INTERNATIONAL,0.445624
GEV,GE VERNOVA INC,0.444066
TXN,TEXAS INSTRUMENTS INC,0.410969
PLTR,PALANTIR TECHNOLOGIES INC A,0.409959
WFC,WELLS FARGO + CO,0.405902
IBM,INTL BUSINESS MACHINES CORP,0.403803
MS,MORGAN STANLEY,0.40201
RTX,RTX CORP,0.400426
ORCL,ORACLE CORP,0.398488
PANW,PALO ALTO NETWORKS INC,0.390208
C,CITIGROUP INC,0.382422
LIN,LINDE PLC,0.37999
MRVL,MARVELL TECHNOLOGY INC,0.369436
WDC,WESTERN DIGITAL CORP,0.319719
STX,SEAGATE TECHNOLOGY HOLDINGS,0.319155
APH,AMPHENOL CORP CL A,0.318677
QCOM,QUALCOMM INC,0.315837
VZ,VERIZON COMMUNICATIONS INC,0.307468
