Symbol,Company Name,Index Weight
LIN,LINDE PLC,13.859308
NEM,NEWMONT CORP,5.920228
FCX,FREEPORT MCMORAN INC,5.179049
VMC,VULCAN MATERIALS CO,4.900389
SHW,SHERWIN WILLIAMS CO/THE,4.858583
CRH,CRH PLC,4.821202
MLM,MARTIN MARIETTA MATERIALS,4.781962
CTVA,CORTEVA INC,4.761899
ECL,ECOLAB INC,4.736799
APD,AIR PRODUCTS + CHEMICALS INC,4.311481
NUE,NUCOR CORP,4.108024
STLD,STEEL DYNAMICS INC,3.926005
PPG,PPG INDUSTRIES INC,3.619174
SW,SMURFIT WESTROCK PLC,3.246157
PKG,PACKAGING CORP OF AMERICA,2.817729
DOW,DOW INC,2.757505
IP,INTERNATIONAL PAPER CO,2.703968
AMCR,AMCOR PLC,2.621045
IFF,INTL FLAVORS + FRAGRANCES,2.568034
DD,DUPONT DE NEMOURS INC,2.470244
BALL,BALL CORP,2.167382
CF,CF INDUSTRIES HOLDINGS INC,2.139408
ALB,ALBEMARLE CORP,2.077342
LYB,LYONDELLBASELL INDU CL A,1.895965
AVY,AVERY DENNISON CORP,1.670431
MOS,MOSAIC CO/THE,0.937177
-,SSI US GOV MONEY MARKET CLASS,0.094877
-,US DOLLAR,0.012844
IXDU6,XAB MATERIALS     SEP26,-0.002727
