Symbol,Company Name,Index Weight
META,META PLATFORMS INC CLASS A,19.62286
GOOGL,ALPHABET INC CL A,12.463346
GOOG,ALPHABET INC CL C,9.965635
TTWO,TAKE TWO INTERACTIVE SOFTWRE,5.054858
NFLX,NETFLIX INC,5.04707
WBD,WARNER BROS DISCOVERY INC,4.724148
EA,ELECTRONIC ARTS INC,4.680753
DIS,WALT DISNEY CO/THE,4.642488
VZ,VERIZON COMMUNICATIONS INC,4.593576
TMUS,T MOBILE US INC,4.562414
T,AT+T INC,4.536223
CMCSA,COMCAST CORP CLASS A,4.479386
LYV,LIVE NATION ENTERTAINMENT IN,3.457415
OMC,OMNICOM GROUP,2.536091
TKO,TKO GROUP HOLDINGS INC,1.655078
ECHO,ECHOSTAR CORP A,1.614351
CHTR,CHARTER COMMUNICATIONS INC A,1.36066
FOXA,FOX CORP   CLASS A,1.216734
NWSA,NEWS CORP   CLASS A,1.128825
TTD,TRADE DESK INC/THE  CLASS A,0.954972
FOX,FOX CORP   CLASS B,0.777161
NWS,NEWS CORP   CLASS B,0.421421
PSKY,PARAMOUNT SKYDANCE CL B,0.370192
-,SSI US GOV MONEY MARKET CLASS,0.063818
-,US DOLLAR,0.023231
XASU6,S+P EMINI COM SER SEP26,-0.009011
