Symbol,Company Name,Index Weight
XOM,EXXON MOBIL CORP,22.340226
CVX,CHEVRON CORP,16.383611
COP,CONOCOPHILLIPS,6.604335
WMB,WILLIAMS COS INC,5.199311
VLO,VALERO ENERGY CORP,4.560318
MPC,MARATHON PETROLEUM CORP,4.391793
EOG,EOG RESOURCES INC,4.181981
SLB,SLB LTD,4.082457
PSX,PHILLIPS 66,4.075069
KMI,KINDER MORGAN INC,3.847694
TRGP,TARGA RESOURCES CORP,3.464806
OKE,ONEOK INC,3.328427
BKR,BAKER HUGHES CO,3.322518
DVN,DEVON ENERGY CORP,2.881653
OXY,OCCIDENTAL PETROLEUM CORP,2.149242
FANG,DIAMONDBACK ENERGY INC,2.067778
EQT,EQT CORP,1.951819
HAL,HALLIBURTON CO,1.692239
TPL,TEXAS PACIFIC LAND CORP,1.357878
EXE,EXPAND ENERGY CORP,1.253193
APA,APA CORP,0.690893
-,SSI US GOV MONEY MARKET CLASS,0.078454
-,US DOLLAR,0.058547
IXPU6,XAE ENERGY        SEP26,-0.011455
