Symbol,Company Name,Index Weight
BRK.B,BERKSHIRE HATHAWAY INC CL B,12.039587
JPM,JPMORGAN CHASE + CO,11.611338
V,VISA INC CLASS A SHARES,7.34907
MA,MASTERCARD INC   A,5.302652
BAC,BANK OF AMERICA CORP,4.976573
GS,GOLDMAN SACHS GROUP INC,3.960896
WFC,WELLS FARGO + CO,3.379614
MS,MORGAN STANLEY,3.347299
C,CITIGROUP INC,3.184147
AXP,AMERICAN EXPRESS CO,2.385493
SCHW,SCHWAB (CHARLES) CORP,1.952048
BLK,BLACKROCK INC,1.834262
PGR,PROGRESSIVE CORP,1.726466
COF,CAPITAL ONE FINANCIAL CORP,1.671792
SPGI,S+P GLOBAL INC,1.629628
CB,CHUBB LTD,1.621985
BNY,BANK OF NEW YORK MELLON CORP,1.297644
PNC,PNC FINANCIAL SERVICES GROUP,1.295519
USB,US BANCORP,1.245164
BX,BLACKSTONE INC,1.128977
MRSH,MARSH + MCLENNAN COS,1.072469
CME,CME GROUP INC,1.054538
HOOD,ROBINHOOD MARKETS INC   A,1.028272
AON,AON PLC CLASS A,0.924488
ICE,INTERCONTINENTAL EXCHANGE IN,0.92242
TRV,TRAVELERS COS INC/THE,0.916835
MCO,MOODY S CORP,0.890465
TFC,TRUIST FINANCIAL CORP,0.828425
KKR,KKR + CO INC,0.820648
ALL,ALLSTATE CORP,0.812346
AJG,ARTHUR J GALLAGHER + CO,0.764659
AFL,AFLAC INC,0.724791
APO,APOLLO GLOBAL MANAGEMENT INC,0.718451
FITB,FIFTH THIRD BANCORP,0.672082
STT,STATE STREET CORP,0.612781
MET,METLIFE INC,0.611758
XYZ,BLOCK INC,0.548471
AMP,AMERIPRISE FINANCIAL INC,0.536089
MSCI,MSCI INC,0.531928
AIG,AMERICAN INTERNATIONAL GROUP,0.527691
IBKR,INTERACTIVE BROKERS GRO CL A,0.526968
PYPL,PAYPAL HOLDINGS INC,0.51451
PRU,PRUDENTIAL FINANCIAL INC,0.494699
HIG,HARTFORD INSURANCE GROUP INC,0.483397
HBAN,HUNTINGTON BANCSHARES INC,0.474916
NDAQ,NASDAQ INC,0.462211
MTB,M + T BANK CORP,0.457597
ACGL,ARCH CAPITAL GROUP LTD,0.446958
COIN,COINBASE GLOBAL INC  CLASS A,0.436625
NTRS,NORTHERN TRUST CORP,0.423644
CFG,CITIZENS FINANCIAL GROUP,0.39207
CINF,CINCINNATI FINANCIAL CORP,0.374989
SYF,SYNCHRONY FINANCIAL,0.348473
FISV,FISERV INC,0.347278
RJF,RAYMOND JAMES FINANCIAL INC,0.34244
RF,REGIONS FINANCIAL CORP,0.337829
CBOE,CBOE GLOBAL MARKETS INC,0.333834
WTW,WILLIS TOWERS WATSON PLC,0.330164
TROW,T ROWE PRICE GROUP INC,0.311158
ARES,ARES MANAGEMENT CORP   A,0.303132
CPAY,CORPAY INC,0.286214
KEY,KEYCORP,0.282301
PFG,PRINCIPAL FINANCIAL GROUP,0.278884
WRB,WR BERKLEY CORP,0.276056
FIS,FIDELITY NATIONAL INFO SERV,0.262556
L,LOEWS CORP,0.251642
BRO,BROWN + BROWN INC,0.246543
GPN,GLOBAL PAYMENTS INC,0.213701
EG,EVEREST GROUP LTD,0.185279
GL,GLOBE LIFE INC,0.183255
AIZ,ASSURANT INC,0.172524
IVZ,INVESCO LTD,0.152726
BEN,FRANKLIN RESOURCES INC,0.132743
JKHY,JACK HENRY + ASSOCIATES INC,0.126341
FDS,FACTSET RESEARCH SYSTEMS INC,0.111174
-,SSI US GOV MONEY MARKET CLASS,0.095169
ERIE,ERIE INDEMNITY COMPANY CL A,0.07988
-,US DOLLAR,0.032837
IXAU6,XAF FINANCIAL     SEP26,0.000963
-,POUND STERLING,0.000001
