Symbol,Company Name,Index Weight
CAT,CATERPILLAR INC,8.147174
GE,GENERAL ELECTRIC,6.82713
GEV,GE VERNOVA INC,4.980602
RTX,RTX CORP,4.489393
BA,BOEING CO/THE,3.036928
UNP,UNION PACIFIC CORP,2.825274
ETN,EATON CORP PLC,2.772783
UBER,UBER TECHNOLOGIES INC,2.75064
DE,DEERE + CO,2.731753
HON,HONEYWELL INTERNATIONAL INC,2.608396
PH,PARKER HANNIFIN CORP,2.166472
VRT,VERTIV HOLDINGS CO A,2.070349
HWM,HOWMET AEROSPACE INC,1.907882
TT,TRANE TECHNOLOGIES PLC,1.873291
PWR,QUANTA SERVICES INC,1.830508
LMT,LOCKHEED MARTIN CORP,1.825657
CMI,CUMMINS INC,1.678201
ADP,AUTOMATIC DATA PROCESSING,1.584633
CSX,CSX CORP,1.57041
GD,GENERAL DYNAMICS CORP,1.560573
MMM,3M CO,1.516955
JCI,JOHNSON CONTROLS INTERNATION,1.497382
WM,WASTE MANAGEMENT INC,1.477532
UPS,UNITED PARCEL SERVICE CL B,1.43172
EMR,EMERSON ELECTRIC CO,1.425187
TDG,TRANSDIGM GROUP INC,1.313849
URI,UNITED RENTALS INC,1.246028
NSC,NORFOLK SOUTHERN CORP,1.24585
ITW,ILLINOIS TOOL WORKS,1.241794
FDX,FEDEX CORP,1.239988
NOC,NORTHROP GRUMMAN CORP,1.18386
FIX,COMFORT SYSTEMS USA INC,1.155536
PCAR,PACCAR INC,1.126285
DAL,DELTA AIR LINES INC,1.072666
GWW,WW GRAINGER INC,1.042621
CTAS,CINTAS CORP,1.036674
CARR,CARRIER GLOBAL CORP,1.018868
AME,AMETEK INC,0.965358
LHX,L3HARRIS TECHNOLOGIES INC,0.96208
FAST,FASTENAL CO,0.95888
ROK,ROCKWELL AUTOMATION INC,0.940873
WAB,WABTEC CORP,0.810984
UAL,UNITED AIRLINES HOLDINGS INC,0.783405
RSG,REPUBLIC SERVICES INC,0.767414
ODFL,OLD DOMINION FREIGHT LINE,0.71006
AXON,AXON ENTERPRISE INC,0.664401
EME,EMCOR GROUP INC,0.628941
PAYX,PAYCHEX INC,0.570851
DOV,DOVER CORP,0.539064
IR,INGERSOLL RAND INC,0.513841
OTIS,OTIS WORLDWIDE CORP,0.498031
XYL,XYLEM INC,0.490835
HUBB,HUBBELL INC,0.48449
CPRT,COPART INC,0.481234
LUV,SOUTHWEST AIRLINES CO,0.449928
VRSK,VERISK ANALYTICS INC,0.423276
VLTO,VERALTO CORP,0.390845
CHRW,C.H. ROBINSON WORLDWIDE INC,0.374846
EXPD,EXPEDITORS INTL WASH INC,0.372769
JBHT,HUNT (JB) TRANSPRT SVCS INC,0.37115
SNA,SNAP ON INC,0.365101
EFX,EQUIFAX INC,0.33462
FTV,FORTIVE CORP,0.332376
LII,LENNOX INTERNATIONAL INC,0.316663
IEX,IDEX CORP,0.298211
FDXF,FEDEX FREIGHT HOLDING CO,0.296668
GNRC,GENERAC HOLDINGS INC,0.290843
MAS,MASCO CORP,0.287576
NDSN,NORDSON CORP,0.283324
BR,BROADRIDGE FINANCIAL SOLUTIO,0.28287
TXT,TEXTRON INC,0.281484
J,JACOBS SOLUTIONS INC,0.263195
SWK,STANLEY BLACK + DECKER INC,0.253554
LDOS,LEIDOS HOLDINGS INC,0.226985
ROL,ROLLINS INC,0.224258
PNR,PENTAIR PLC,0.219002
ALLE,ALLEGION PLC,0.212274
HII,HUNTINGTON INGALLS INDUSTRIE,0.197029
BLDR,BUILDERS FIRSTSOURCE INC,0.170025
AOS,SMITH (A.O.) CORP,0.122564
-,SSI US GOV MONEY MARKET CLASS,0.034903
IXIU6,XAI EMINI INDUSTR SEP26,0.00206
-,US DOLLAR,0.00015
