Symbol,Company Name,Index Weight
NVDA,NVIDIA CORP,14.799575
AAPL,APPLE INC,13.227957
MSFT,MICROSOFT CORP,8.793028
MU,MICRON TECHNOLOGY INC,5.580757
AVGO,BROADCOM INC,5.48496
AMD,ADVANCED MICRO DEVICES,4.974577
INTC,INTEL CORP,3.545945
AMAT,APPLIED MATERIALS INC,2.909711
LRCX,LAM RESEARCH CORP,2.772931
CSCO,CISCO SYSTEMS INC,2.628458
KLAC,KLA CORP,1.899742
SNDK,SANDISK CORP,1.810914
TXN,TEXAS INSTRUMENTS INC,1.519376
PLTR,PALANTIR TECHNOLOGIES INC A,1.516636
IBM,INTL BUSINESS MACHINES CORP,1.493269
ORCL,ORACLE CORP,1.474181
PANW,PALO ALTO NETWORKS INC,1.442992
MRVL,MARVELL TECHNOLOGY INC,1.366186
WDC,WESTERN DIGITAL CORP,1.182325
STX,SEAGATE TECHNOLOGY HOLDINGS,1.180236
APH,AMPHENOL CORP CL A,1.178083
QCOM,QUALCOMM INC,1.167571
ADI,ANALOG DEVICES INC,1.104844
CRWD,CROWDSTRIKE HOLDINGS INC   A,1.043787
GLW,CORNING INC,1.012598
ANET,ARISTA NETWORKS INC,0.95181
CRM,SALESFORCE INC,0.757779
APP,APPLOVIN CORP CLASS A,0.750766
DELL,DELL TECHNOLOGIES  C,0.675957
CDNS,CADENCE DESIGN SYS INC,0.608637
NOW,SERVICENOW INC,0.593205
FTNT,FORTINET INC,0.551295
SNPS,SYNOPSYS INC,0.509073
ADBE,ADOBE INC,0.47929
DDOG,DATADOG INC   CLASS A,0.463968
ACN,ACCENTURE PLC CL A,0.46316
COHR,COHERENT CORP,0.435477
INTU,INTUIT INC,0.433053
NXPI,NXP SEMICONDUCTORS NV,0.409072
TER,TERADYNE INC,0.400006
CIEN,CIENA CORP,0.396577
MSI,MOTOROLA SOLUTIONS INC,0.39118
MPWR,MONOLITHIC POWER SYSTEMS INC,0.377403
LITE,LUMENTUM HOLDINGS INC,0.371767
HPE,HEWLETT PACKARD ENTERPRISE,0.339228
TEL,TE CONNECTIVITY PLC,0.337608
KEYS,KEYSIGHT TECHNOLOGIES IN,0.329693
FLEX,FLEX LTD,0.315485
MCHP,MICROCHIP TECHNOLOGY INC,0.278309
ADSK,AUTODESK INC,0.242385
JBL,JABIL INC,0.221286
ON,ON SEMICONDUCTOR,0.207798
ROP,ROPER TECHNOLOGIES INC,0.199694
Q,QNITY ELECTRONICS INC,0.193705
NTAP,NETAPP INC,0.175955
TDY,TELEDYNE TECHNOLOGIES INC,0.169179
FICO,FAIR ISAAC CORP,0.160445
FSLR,FIRST SOLAR INC,0.150262
WDAY,WORKDAY INC CLASS A,0.148002
FFIV,F5 INC,0.130199
VRSN,VERISIGN INC,0.122445
HPQ,HP INC,0.122392
CTSH,COGNIZANT TECH SOLUTIONS A,0.110952
SMCI,SUPER MICRO COMPUTER INC,0.100809
CDW,CDW CORP/DE,0.099612
AKAM,AKAMAI TECHNOLOGIES INC,0.096337
GEN,GEN DIGITAL INC,0.07882
PTC,PTC INC,0.078179
TYL,TYLER TECHNOLOGIES INC,0.072614
ZBRA,ZEBRA TECHNOLOGIES CORP CL A,0.070078
TRMB,TRIMBLE INC,0.069129
GDDY,GODADDY INC   CLASS A,0.065482
-,SSI US GOV MONEY MARKET CLASS,0.06322
SWKS,SKYWORKS SOLUTIONS INC,0.059822
IT,GARTNER INC,0.052851
-,US DOLLAR,0.000031
IXTU6,XAK TECHNOLOGY    SEP26,-0.005026
