Symbol,Company Name,Index Weight
WMT,WALMART INC,10.769188
COST,COSTCO WHOLESALE CORP,8.972987
PG,PROCTER + GAMBLE CO/THE,7.368038
KO,COCA COLA CO/THE,6.793788
PM,PHILIP MORRIS INTERNATIONAL,5.982206
CL,COLGATE PALMOLIVE CO,4.603356
MO,ALTRIA GROUP INC,4.53795
PEP,PEPSICO INC,4.406047
MNST,MONSTER BEVERAGE CORP,4.358518
MDLZ,MONDELEZ INTERNATIONAL INC A,4.259808
TGT,TARGET CORP,4.03875
KDP,KEURIG DR PEPPER INC,2.878398
SYY,SYSCO CORP,2.50852
ADM,ARCHER DANIELS MIDLAND CO,2.344225
KVUE,KENVUE INC,2.326513
KMB,KIMBERLY CLARK CORP,2.299567
KR,KROGER CO,2.074213
CASY,CASEY S GENERAL STORES INC,1.822752
HSY,HERSHEY CO/THE,1.681689
DG,DOLLAR GENERAL CORP,1.6671
CHD,CHURCH + DWIGHT CO INC,1.494537
DLTR,DOLLAR TREE INC,1.420881
STZ,CONSTELLATION BRANDS INC A,1.292349
KHC,KRAFT HEINZ CO/THE,1.281657
EL,ESTEE LAUDER COMPANIES CL A,1.261546
GIS,GENERAL MILLS INC,1.217284
TSN,TYSON FOODS INC CL A,1.046281
BG,BUNGE GLOBAL SA,0.950925
MKC,MCCORMICK + CO NON VTG SHRS,0.821289
SJM,JM SMUCKER CO/THE,0.78118
CLX,CLOROX COMPANY,0.747085
HRL,HORMEL FOODS CORP,0.489732
CAG,CONAGRA BRANDS INC,0.426692
TAP,MOLSON COORS BEVERAGE CO   B,0.42152
BF.B,BROWN FORMAN CORP CLASS B,0.298154
-,SSI US GOV MONEY MARKET CLASS,0.08623
-,US DOLLAR,0.021814
-,CONTRA WALGREENS BOOTS,0.000062
IXRU6,XAP CONS STAPLES  SEP26,-0.002234
