Symbol,Company Name,Index Weight
WELL,WELLTOWER INC,10.708964
PLD,PROLOGIS INC,8.709506
EQIX,EQUINIX INC,7.182514
AMT,AMERICAN TOWER CORP,5.459241
SPG,SIMON PROPERTY GROUP INC,4.909932
DLR,DIGITAL REALTY TRUST INC,4.729515
O,REALTY INCOME CORP,4.502002
PSA,PUBLIC STORAGE,4.437056
VTR,VENTAS INC,4.355969
CBRE,CBRE GROUP INC   A,4.048013
IRM,IRON MOUNTAIN INC,3.964706
CCI,CROWN CASTLE INC,3.628089
EXR,EXTRA SPACE STORAGE INC,3.171482
VICI,VICI PROPERTIES INC,2.991886
AVB,AVALONBAY COMMUNITIES INC,2.657429
EQR,EQUITY RESIDENTIAL,2.321646
SBAC,SBA COMMUNICATIONS CORP,1.961104
ESS,ESSEX PROPERTY TRUST INC,1.909558
WY,WEYERHAEUSER CO,1.836184
KIM,KIMCO REALTY CORP,1.756737
INVH,INVITATION HOMES INC,1.674931
MAA,MID AMERICA APARTMENT COMM,1.64785
HST,HOST HOTELS + RESORTS INC,1.605979
DOC,HEALTHPEAK PROPERTIES INC,1.494835
REG,REGENCY CENTERS CORP,1.356383
CSGP,COSTAR GROUP INC,1.242885
UDR,UDR INC,1.189374
CPT,CAMDEN PROPERTY TRUST,1.176385
BXP,BXP INC,1.00579
FRT,FEDERAL REALTY INVS TRUST,0.989275
ARE,ALEXANDRIA REAL ESTATE EQUIT,0.871443
-,US DOLLAR,0.030788
-,SSI US GOV MONEY MARKET CLASS,0.029555
XARU6,EMINI S+P REESTATESEP26,0.006447
