Symbol,Company Name,Index Weight
NEE,NEXTERA ENERGY INC,12.749724
SO,SOUTHERN CO/THE,7.561576
DUK,DUKE ENERGY CORP,6.910671
CEG,CONSTELLATION ENERGY,5.826898
AEP,AMERICAN ELECTRIC POWER,5.209679
SRE,SEMPRA,4.254315
D,DOMINION ENERGY INC,4.213056
ETR,ENTERGY CORP,3.664069
VST,VISTRA CORP,3.57742
XEL,XCEL ENERGY INC,3.543941
EXC,EXELON CORP,3.348329
PEG,PUBLIC SERVICE ENTERPRISE GP,2.875415
ED,CONSOLIDATED EDISON INC,2.851059
WEC,WEC ENERGY GROUP INC,2.67258
PCG,P G + E CORP,2.642386
AEE,AMEREN CORPORATION,2.26067
DTE,DTE ENERGY COMPANY,2.21785
NRG,NRG ENERGY INC,2.175594
CNP,CENTERPOINT ENERGY INC,2.034104
ATO,ATMOS ENERGY CORP,2.018572
EIX,EDISON INTERNATIONAL,2.010202
PPL,PPL CORP,1.922843
ES,EVERSOURCE ENERGY,1.907814
AWK,AMERICAN WATER WORKS CO INC,1.788806
FE,FIRSTENERGY CORP,1.742019
CMS,CMS ENERGY CORP,1.680802
NI,NISOURCE INC,1.624522
EVRG,EVERGY INC,1.38786
LNT,ALLIANT ENERGY CORP,1.377435
PNW,PINNACLE WEST CAPITAL,0.904226
AES,AES CORP,0.722278
-,SSI US GOV MONEY MARKET CLASS,0.168062
-,US DOLLAR,0.01109
IXSU6,XAU UTILITIES     SEP26,0.009318
