Symbol,Company Name,Index Weight
LLY,ELI LILLY + CO,16.441719
JNJ,JOHNSON + JOHNSON,10.546346
ABBV,ABBVIE INC,7.700777
UNH,UNITEDHEALTH GROUP INC,6.685253
MRK,MERCK + CO. INC.,5.466863
AMGN,AMGEN INC,3.327156
TMO,THERMO FISHER SCIENTIFIC INC,3.279987
ABT,ABBOTT LABORATORIES,2.820414
GILD,GILEAD SCIENCES INC,2.731505
ISRG,INTUITIVE SURGICAL INC,2.46586
PFE,PFIZER INC,2.381704
CVS,CVS HEALTH CORP,2.290355
VRTX,VERTEX PHARMACEUTICALS INC,2.145444
DHR,DANAHER CORP,2.126137
BMY,BRISTOL MYERS SQUIBB CO,2.020772
SYK,STRYKER CORP,1.974888
MDT,MEDTRONIC PLC,1.788673
MCK,MCKESSON CORP,1.5789
ELV,ELEVANCE HEALTH INC,1.476446
CI,THE CIGNA GROUP,1.286952
BSX,BOSTON SCIENTIFIC CORP,1.131014
REGN,REGENERON PHARMACEUTICALS,1.087958
HCA,HCA HEALTHCARE INC,1.046405
CAH,CARDINAL HEALTH INC,0.958618
COR,CENCORA INC,0.957685
EW,EDWARDS LIFESCIENCES CORP,0.899274
HUM,HUMANA INC,0.792775
IDXX,IDEXX LABORATORIES INC,0.748389
BDX,BECTON DICKINSON AND CO,0.739118
A,AGILENT TECHNOLOGIES INC,0.66126
WAT,WATERS CORP,0.632411
IQV,IQVIA HOLDINGS INC,0.548815
ZTS,ZOETIS INC,0.548791
BIIB,BIOGEN INC,0.548691
CNC,CENTENE CORP,0.530464
GEHC,GE HEALTHCARE TECHNOLOGY,0.514624
RMD,RESMED INC,0.499828
DXCM,DEXCOM INC,0.465622
VEEV,VEEVA SYSTEMS INC CLASS A,0.442633
MTD,METTLER TOLEDO INTERNATIONAL,0.439391
WST,WEST PHARMACEUTICAL SERVICES,0.426478
MRNA,MODERNA INC,0.408687
DGX,QUEST DIAGNOSTICS INC,0.399684
LH,LABCORP HOLDINGS INC,0.383003
STE,STERIS PLC,0.363905
INCY,INCYTE CORP,0.328402
VTRS,VIATRIS INC,0.327168
ZBH,ZIMMER BIOMET HOLDINGS INC,0.309865
COO,COOPER COS INC/THE,0.238389
-,SSI US GOV MONEY MARKET CLASS,0.217359
RVTY,REVVITY INC,0.216916
ALGN,ALIGN TECHNOLOGY INC,0.204447
SOLV,SOLVENTUM CORP,0.201409
BAX,BAXTER INTERNATIONAL INC,0.195827
TECH,BIO TECHNE CORP,0.19125
PODD,INSULET CORP,0.188574
CRL,CHARLES RIVER LABORATORIES,0.178794
HSIC,HENRY SCHEIN INC,0.141514
UHS,UNIVERSAL HEALTH SERVICES B,0.133558
DVA,DAVITA INC,0.119829
-,US DOLLAR,0.025629
IXCU6,XAV  HEALTH CARE  SEP26,0.010894
2602335D,CONTRA HOLOGIC INCORPO,0.00004
